Carimbo de data/hora;Primeiro, poderia nos dizer qual seu interesse academico;Qual sua idade;Com qual genero voce se identifica;Em qual regiao do Brasil voce mora;Quais redes sociais voce mais utiliza;Quais canais de noticia voce costuma acessar;Nos momentos de lazer o que voce gosta de fazer;Que tipo de entretenimento voce mais consome;Dentro do cenario politico em que vivemos  qual sua posicao em relacao ao atual governo;Em que momento voce se encontra como estudante;Como e sua rotina enquanto estudante;Qual curso voce pretende estudar;Como voce se prepara para o vestibular;Qual o envolvimento dos seus pais durante sua preparac’o para o vestibular;Como voce costuma buscar informacoes sobre as instituicoes de ensino onde voce gostaria de estudar;O que voce considera importante na hora de escolher umainstituicao de ensino superior Ser umainstituicao renomada;O que voce considera importante na hora de escolher umainstituicao de ensino superior Ser umainstituicao publica;O que voce considera importante na hora de escolher umainstituicao de ensino superior Ser umainstituicao privada;O que voce considera importante na hora de escolher umainstituicao de ensino superior Ser umainstituicao atualizada com o mercado;O que voce considera importante na hora de escolher umainstituicao de ensino superior Ser gratuita ou ter um preco acessivel;O que voce considera importante na hora de escolher umainstituicao de ensino superior Ter uma boa estrutura fiscia e pedagogica;O que voce considera importante na hora de escolher umainstituicao de ensino superior Ter um bom indicie de empregabilidade aPos formado;O que voce considera importante na hora de escolher umainstituicao de ensino superior Ter uma boa grade de ensino incluindo aulas praticas;O que voce considera importante na hora de escolher umainstituicao de ensino superior Ter atividades complementares na grade de ensino;O que voce considera importante na hora de escolher umainstituicao de ensino superior Ter programas de intercŸmbio;O que voce considera importante na hora de escolher uma instituicao de ensino superior Ter programas de bolsas de estudo e estagio interno;Quais das seguintes atividades seriam do seu interesse enquanto estudante de Graduacao;Quanto a localizacao da instituicao o que voce considera importante;Pensando em estudar longe de casa  quais beneficios e atrativos uma cidade precisa ter;Onde voce costuma ver anuncios sobre cursos vestibulares e instituicoes
8/25/2019 20:59:10;Estou buscando um curso de Graduacao;Menos de 18 anos;Masculino;Sudeste;Facebook Instagram Youtube;Sites: G1 R7 Folha etc Redes Sociais: paginas e Perfis Busco tudo no Google;Ficar em casa vendo series filmes jogando estudando etc Praticar alguma atividade fisica e/ou esportiva;Musica Jogos Esportes Series Filmes Redes Sociais;"Sou a favor mas discordo de algumas decisoes que estao sendo tomadas;";Cursando o ensino medio;Dedico bastante tempo aos estudos Faco atividades complementares;Engenharia;Estudo em casa por conta propria Assisto videoaulas no Youtube Faco provas que simulam o vestibular;Eles me ajudam financeiramente nos estudos Apoiam minha escolha de curso;Assistindo videos no Youtube Conversando com meus pais Conversando com amigos Conversando com parentes Fazendo uma busca no Google Buscando nas redes sociais Lendo avaliacoes em sites e blogs Acessando o site da propria instituicao;3;3;3;5;5;5;4;5;5;5;5;Monitoria (Auxilia outros estudantes ao longo do seu aprendizado) Empreendedorismo Atividades em laboratorio (Experimentos Pesquisas Testes Exames dentre outras) Associacao Atletica E-sports (Modalidade de esportes eletronicos) Nucleo Estudantil (Oferece suporte aos estudantes ao longo do curso);nao tenho restricoes quanto a localizacao;Transporte publico de qualidade Entretenimento para os finais de semana Opcoes de lazer e cultura Baixo indice de violencia Baixo custo de vida;Facebook Instagram Youtube
8/25/2019 21:26:39;Estou buscando um curso de Graduacao;Mais de 40 anos;Masculino;Centro-Oeste;Facebook Instagram Whatsapp Linkedin;Sites: G1 R7 Folha etc;Sair para passear no shopping parque ou algum espaco publico;Esportes Filmes;"Sou a favor mas discordo de algumas decisoes que estao sendo tomadas;";Conclui o ensino medio mas estou sem estudar a algum tempo;Dedico pouco tempo aos estudos;Engenharia;Estudo em casa por conta propria;Meus pais nao se envolvem;;5;3;3;5;5;5;5;5;5;4;5;Diretorio Academico - DA (Representa os estudantes de um determinado curso);Estar localizada na cidade em que eu moro;Baixo indice de violencia;Facebook
8/25/2019 22:00:00;Estou buscando um curso de Graduacao;De 21 a 30 anos;Masculino;Sudeste;Facebook Instagram Whatsapp;Sites: G1 R7 Folha etc Redes Sociais: paginas e Perfis Televisao;Ficar em casa vendo series filmes jogando estudando etc Sair para passear no shopping parque ou algum espaco publico Encontrar meus amigos e colocar o papo em dia;Musica Series Filmes Redes Sociais;Prefiro nao opinar sobre isso.;Conclui o ensino medio mas estou sem estudar a algum tempo;Dedico bastante tempo aos estudos;Engenharia Outro curso de humanas;Estudo em casa por conta propria Assisto videoaulas no Youtube;Meus pais nao se envolvem;Fazendo uma busca no Google Acessando o site da propria instituicao Vendo a avaliacao da instituicao no site do MEC;5;5;3;5;4;4;4;4;3;5;5;Atividades em laboratorio (Experimentos Pesquisas Testes Exames dentre outras);nao tenho restricoes quanto a localizacao;Transporte publico de qualidade Baixo custo de vida;Facebook Instagram Televisao Transporte publico (onibus trem metro etc)
8/25/2019 22:31:36;Gostaria apenas de colaborar com a pesquisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/25/2019 22:49:28;Gostaria apenas de colaborar com a pesquisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/26/2019 0:19:43;Estou buscando um curso de Graduacao;Menos de 18 anos;Masculino;Sudeste;Instagram Youtube Whatsapp;Redes Sociais: paginas e Perfis Televisao Busco tudo no Google;Ficar em casa vendo series filmes jogando estudando etc Sair para passear no shopping parque ou algum espaco publico Curtir shows e festivais de musica Praticar alguma atividade fisica e/ou esportiva;Musica Jogos Series Filmes Redes Sociais;"Sou a favor mas discordo de algumas decisoes que estao sendo tomadas;";Cursando o ensino medio Faco IFTM (Instituto Federal do TriŸngulo Mineiro);Dedico pouco tempo aos estudos;Engenharia Outro curso de exatas;Assisto videoaulas no Youtube Assino o Descomplica;Eles me levariam ate uma instituicao para conhece-la independente da sua localizacao Apoiam minha escolha de curso;Assistindo videos no Youtube Fazendo uma busca no Google Buscando nas redes sociais Acessando o site da propria instituicao;3;2;2;5;2;5;5;4;4;4;4;Atividades em laboratorio (Experimentos Pesquisas Testes Exames dentre outras) Associacao Atletica E-sports (Modalidade de esportes eletronicos);nao tenho restricoes quanto a localizacao;Baixo indice de violencia;Instagram Youtube E-mail
8/26/2019 7:37:46;Estou buscando um curso de Graduacao;De 21 a 30 anos;Masculino;Nordeste;Facebook Messenger (Facebook) Instagram Youtube Whatsapp Linkedin;Sites: G1 R7 Folha etc Redes Sociais: paginas e Perfis Televisao Busco tudo no Google;Ficar em casa vendo series filmes jogando estudando etc;Jogos Filmes Redes Sociais;Prefiro nao opinar sobre isso.;Cursando uma graduacao ;Dedico bastante tempo aos estudos;Engenharia Outro curso de exatas;Assisto videoaulas no Youtube Participo de grupos de estudo;Meus pais nao se envolvem;Assistindo videos no Youtube Fazendo uma busca no Google;3;3;3;3;3;3;3;3;3;3;3;Empreendedorismo;nao tenho restricoes quanto a localizacao;Baixo custo de vida;Facebook Instagram Twitter Youtube Grupos de Whatsapp E-mail Televisao Sites e blogs
8/26/2019 8:54:11;Gostaria apenas de colaborar com a pesquisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/26/2019 9:48:35;Estou buscando um curso de Pos-Graduacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/26/2019 10:11:58;Gostaria apenas de colaborar com a pesquisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/26/2019 11:00:30;Estou buscando um curso de Graduacao;Menos de 18 anos;Masculino;Sudeste;Facebook Instagram Whatsapp;Busco tudo no Google;Ficar em casa vendo series filmes jogando estudando etc Aproveitar a noite em bares e baladas Praticar alguma atividade fisica e/ou esportiva;Musica Jogos Series Filmes Redes Sociais;"Sou a favor mas discordo de algumas decisoes que estao sendo tomadas;";Cursando o ensino medio;Faco o basico para conseguir aprovacao nao costumo estudar;Engenharia;Estudo em casa por conta propria Assisto videoaulas no Youtube Faco provas que simulam o vestibular;Meus pais nao se envolvem;Conversando com amigos Fazendo uma busca no Google Buscando nas redes sociais Acessando o site da propria instituicao Vendo a avaliacao da instituicao no site do MEC;5;3;3;5;4;5;5;5;5;5;5;Monitoria (Auxilia outros estudantes ao longo do seu aprendizado);Estar localizada na cidade em que eu moro Estar localizada em qualquer cidade do meu estado Estar localizada numa cidade com baixo custo de vida;Transporte publico de qualidade Baixo indice de violencia Baixo custo de vida;Facebook
8/26/2019 11:01:44;Gostaria apenas de colaborar com a pesquisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/26/2019 11:05:26;Estou buscando um curso de Pos-Graduacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/26/2019 11:22:42;Gostaria apenas de colaborar com a pesquisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/26/2019 11:53:33;Gostaria apenas de colaborar com a pesquisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/26/2019 12:05:05;Estou buscando um curso de Pos-Graduacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/26/2019 14:46:14;Gostaria apenas de colaborar com a pesquisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/26/2019 16:52:33;Gostaria apenas de colaborar com a pesquisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/26/2019 23:19:11;Estou buscando um curso de Graduacao;Menos de 18 anos;Feminino;Sudeste;Instagram Whatsapp;Redes Sociais: paginas e Perfis Televisao Busco tudo no Google;Ficar em casa vendo series filmes jogando estudando etc Praticar alguma atividade fisica e/ou esportiva;Jogos Redes Sociais Novelas;"Sou a favor mas discordo de algumas decisoes que estao sendo tomadas;";Cursando o ensino medio;Dedico bastante tempo aos estudos Faco atividades complementares;Engenharia;Estudo em casa por conta propria Faco provas que simulam o vestibular;Estao constantemente me orientando quanto a cursos e instituicoes Contribuem na hora de pesquisar sobre cursos e instituicoes Eles me ajudam financeiramente nos estudos Eles me levariam ate uma instituicao para conhece-la independente da sua localizacao;Assistindo videos no Youtube Fazendo uma busca no Google Lendo avaliacoes em sites e blogs Acessando o site da propria instituicao Vendo a avaliacao da instituicao no site do MEC;5;2;2;5;1;5;5;5;5;4;5;Empreendedorismo Atividades em laboratorio (Experimentos Pesquisas Testes Exames dentre outras) Nucleo Estudantil (Oferece suporte aos estudantes ao longo do curso) Diretorio Academico - DA (Representa os estudantes de um determinado curso) Diretorio Central de Estudantes - DCE (Representa todos os estudantes de uma universidade) Iniciacao Cientifica (Participar de um projeto de pesquisa cientifica);Estar localizada numa cidade com baixo custo de vida nao estar muito longe da minha familia;Transporte publico de qualidade Opcoes de lazer e cultura Baixo indice de violencia Baixo custo de vida;Instagram E-mail
8/27/2019 0:37:25;Estou buscando um curso de Graduacao;De 18 a 20 anos;Masculino;Sudeste;Instagram Whatsapp Twitter;Redes Sociais: paginas e Perfis;Ficar em casa vendo series filmes jogando estudando etc Encontrar meus amigos e colocar o papo em dia;Jogos Esportes;"Sou contra e discordo das decisoes que estao sendo tomadas;";;Dedico pouco tempo aos estudos;Engenharia Medicina Direito;Faco um curso pre-vestibular;Eles me ajudam financeiramente nos estudos;Assistindo videos no Youtube Conversando com amigos;5;4;3;5;5;3;5;3;3;4;4;Empreendedorismo Associacao Atletica E-sports (Modalidade de esportes eletronicos);nao estar muito longe da minha familia;Entretenimento para os finais de semana Opcoes de lazer e cultura Baixo indice de violencia Baixo custo de vida;Youtube
8/27/2019 7:16:22;Estou buscando um curso de Graduacao;De 18 a 20 anos;Masculino;Sul;Facebook;Sites: G1 R7 Folha etc Televisao;Ficar em casa vendo series filmes jogando estudando etc Encontrar meus amigos e colocar o papo em dia Praticar alguma atividade fisica e/ou esportiva;Musica Jogos Esportes Filmes Redes Sociais;"Sou contra e discordo das decisoes que estao sendo tomadas;";Conclui o ensino medio mas estou sem estudar a algum tempo;Faco atividades complementares nao costumo estudar;Engenharia;Estudo em casa por conta propria;Apoiam minha escolha de curso;Fazendo uma busca no Google Buscando nas redes sociais Lendo avaliacoes em sites e blogs Acessando o site da propria instituicao;4;4;5;5;5;5;5;5;5;4;5;Empreendedorismo Associacao Atletica;Estar localizada em qualquer cidade do meu estado Estar dentro de uma cidade grande e movimentada;Transporte publico de qualidade Opcoes de lazer e cultura Pracas e parques para passear Baixo indice de violencia;Facebook Twitter Sites e blogs
8/27/2019 13:24:39;Estou buscando um curso de Graduacao;Menos de 18 anos;Masculino;Sudeste;Facebook Instagram Youtube Whatsapp;Sites: G1 R7 Folha etc Televisao Busco tudo no Google;Ficar em casa vendo series filmes jogando estudando etc Sair para passear no shopping parque ou algum espaco publico Aproveitar a noite em bares e baladas Encontrar meus amigos e colocar o papo em dia Praticar alguma atividade fisica e/ou esportiva;Musica Jogos Series Filmes Redes Sociais;"Sou contra mas concordo com algumas decisoes que estao sendo tomadas;";Cursando o ensino medio;Dedico bastante tempo aos estudos Eu consigo estudar bem so de prestar atencao na aula entao nao sou la de estudar tanto so pra revisar;Engenharia Medicina Outro curso de biologicas;Estudo em casa por conta propria Assisto videoaulas no Youtube Faco provas que simulam o vestibular;Estao constantemente me orientando quanto a cursos e instituicoes Contribuem na hora de pesquisar sobre cursos e instituicoes Eles me ajudam financeiramente nos estudos Apoiam minha escolha de curso;Assistindo videos no Youtube Conversando com amigos Conversando com parentes Fazendo uma busca no Google Buscando nas redes sociais Lendo avaliacoes em sites e blogs Acessando o site da propria instituicao Vendo a avaliacao da instituicao no site do MEC;5;5;2;5;3;5;5;5;5;4;3;Monitoria (Auxilia outros estudantes ao longo do seu aprendizado) Empreendedorismo Atividades em laboratorio (Experimentos Pesquisas Testes Exames dentre outras) E-sports (Modalidade de esportes eletronicos) Nucleo Estudantil (Oferece suporte aos estudantes ao longo do curso) Diretorio Academico - DA (Representa os estudantes de um determinado curso) Iniciacao Cientifica (Participar de um projeto de pesquisa cientifica);Estar localizada numa cidade com baixo custo de vida nao tenho restricoes quanto a localizacao;Vida noturna agitada Entretenimento para os finais de semana Baixo indice de violencia Baixo custo de vida;Facebook Youtube Na minha escola
8/27/2019 13:26:12;Gostaria apenas de colaborar com a pesquisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/27/2019 16:15:14;Estou buscando um curso de Pos-Graduacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/28/2019 10:51:26;Gostaria apenas de colaborar com a pesquisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/28/2019 12:39:39;Estou buscando um curso de Graduacao;De 18 a 20 anos;Masculino;Sudeste;Whatsapp;Busco tudo no Google;Praticar alguma atividade fisica e/ou esportiva;Musica;"Sou a favor e concordo com as decisoes que estao sendo tomadas;";Buscando uma segunda graduacao;Faco o basico para conseguir aprovacao;Outro curso de exatas;Estudo em casa por conta propria Assisto videoaulas no Youtube Faco provas que simulam o vestibular;Apoiam minha escolha de curso;Assistindo videos no Youtube Conversando com amigos Conversando com parentes Fazendo uma busca no Google Buscando nas redes sociais Lendo avaliacoes em sites e blogs Acessando o site da propria instituicao;3;3;3;3;3;3;3;3;3;3;3;Monitoria (Auxilia outros estudantes ao longo do seu aprendizado) Empreendedorismo Atividades em laboratorio (Experimentos Pesquisas Testes Exames dentre outras) Associacao Atletica E-sports (Modalidade de esportes eletronicos) Nucleo Estudantil (Oferece suporte aos estudantes ao longo do curso) Diretorio Academico - DA (Representa os estudantes de um determinado curso) Diretorio Central de Estudantes - DCE (Representa todos os estudantes de uma universidade) Iniciacao Cientifica (Participar de um projeto de pesquisa cientifica);Estar dentro de uma cidade pequena e sossegada Estar localizada numa cidade com baixo custo de vida nao estar muito longe da minha familia;Transporte publico de qualidade Entretenimento para os finais de semana Opcoes de lazer e cultura Pracas e parques para passear Baixo indice de violencia Baixo custo de vida;Facebook Instagram Youtube Grupos de Whatsapp E-mail Televisao Radio Transporte publico (onibus trem metro etc) midia impressa (revistas jornais panfletos etc) Sites e blogs
8/28/2019 13:59:15;Estou buscando um curso de Graduacao;De 31 a 40 anos;Masculino;Sul;Facebook Instagram Whatsapp;Redes Sociais: paginas e Perfis Televisao Radio;Ficar em casa vendo series filmes jogando estudando etc Curtir shows e festivais de musica Praticar alguma atividade fisica e/ou esportiva;Musica Filmes Reality shows;"Sou a favor mas discordo de algumas decisoes que estao sendo tomadas;";Conclui o ensino medio mas estou sem estudar a algum tempo;Dedico pouco tempo aos estudos;Engenharia;nao me preparo para o vestibular;Meus pais nao se envolvem;Fazendo uma busca no Google Buscando nas redes sociais Acessando o site da propria instituicao;5;5;1;5;5;5;5;5;2;3;5;Atividades em laboratorio (Experimentos Pesquisas Testes Exames dentre outras) Iniciacao Cientifica (Participar de um projeto de pesquisa cientifica);Estar localizada na cidade em que eu moro nao estar muito longe da minha familia;Transporte publico de qualidade Baixo indice de violencia Baixo custo de vida;Facebook Youtube Televisao
8/28/2019 14:37:00;Estou buscando um curso de Graduacao;Mais de 40 anos;Masculino;nao moro no Brasil;Youtube Whatsapp;Televisao;Ficar em casa vendo series filmes jogando estudando etc;Filmes;Prefiro nao opinar sobre isso.;Conclui o ensino medio mas estou sem estudar a algum tempo;Dedico bastante tempo aos estudos;Engenharia;;Contribuem na hora de pesquisar sobre cursos e instituicoes;Fazendo uma busca no Google;;;;;1;;;;;;;;;;
8/28/2019 17:17:43;Estou buscando um curso de Pos-Graduacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/28/2019 20:42:12;Gostaria apenas de colaborar com a pesquisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/29/2019 13:23:04;Estou buscando um curso de Graduacao;De 18 a 20 anos;Masculino;Sudeste;Facebook Instagram Youtube Whatsapp;Sites: G1 R7 Folha etc Redes Sociais: paginas e Perfis Blogs e Foruns Busco tudo no Google;Ficar em casa vendo series filmes jogando estudando etc Ficar em casa lendo;Musica Series Redes Sociais;Prefiro nao opinar sobre isso.;Conclui o ensino medio mas estou sem estudar a algum tempo;Dedico bastante tempo aos estudos Participo de grupos estudantis Faco atividades complementares Atuo em projetos de iniciacao cientifica;Engenharia;Estudo em casa por conta propria Leio muitos livros e artigos Assisto videoaulas no Youtube Faco provas que simulam o vestibular;Apoiam minha escolha de curso Meus pais nao se envolvem;Conversando com amigos Lendo avaliacoes em sites e blogs Acessando o site da propria instituicao;3;5;1;5;5;5;4;5;5;2;4;Monitoria (Auxilia outros estudantes ao longo do seu aprendizado) Empreendedorismo Atividades em laboratorio (Experimentos Pesquisas Testes Exames dentre outras) E-sports (Modalidade de esportes eletronicos) Nucleo Estudantil (Oferece suporte aos estudantes ao longo do curso) Diretorio Academico - DA (Representa os estudantes de um determinado curso) Diretorio Central de Estudantes - DCE (Representa todos os estudantes de uma universidade) Iniciacao Cientifica (Participar de um projeto de pesquisa cientifica);Estar localizada em qualquer cidade do meu estado Estar localizada numa cidade com baixo custo de vida nao estar muito longe da minha familia;Transporte publico de qualidade Baixo indice de violencia Baixo custo de vida;Facebook Instagram Youtube Grupos de Whatsapp E-mail Sites e blogs
8/29/2019 14:24:17;Estou buscando um curso de Pos-Graduacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/29/2019 22:47:58;Gostaria apenas de colaborar com a pesquisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/30/2019 0:18:54;Estou buscando um curso de Graduacao;De 18 a 20 anos;Feminino;Sudeste;Facebook Messenger (Facebook) Instagram Whatsapp;Televisao;Ficar em casa vendo series filmes jogando estudando etc Sair para passear no shopping parque ou algum espaco publico Encontrar meus amigos e colocar o papo em dia Frequentar museus galerias e espacos culturais Praticar alguma atividade fisica e/ou esportiva;Musica Jogos Esportes Redes Sociais;"Sou contra mas concordo com algumas decisoes que estao sendo tomadas;";Cursando o ensino medio;Dedico pouco tempo aos estudos;Engenharia;Estudo em casa por conta propria Leio muitos livros e artigos Assisto videoaulas no Youtube;Contribuem na hora de pesquisar sobre cursos e instituicoes Eles me ajudam financeiramente nos estudos Apoiam minha escolha de curso;Conversando com amigos Fazendo uma busca no Google Buscando nas redes sociais Lendo avaliacoes em sites e blogs Acessando o site da propria instituicao;4;2;2;4;5;5;5;5;5;4;4;Empreendedorismo Atividades em laboratorio (Experimentos Pesquisas Testes Exames dentre outras) Iniciacao Cientifica (Participar de um projeto de pesquisa cientifica);nao tenho restricoes quanto a localizacao;Opcoes de lazer e cultura Pracas e parques para passear Baixo custo de vida;Facebook Instagram E-mail Televisao
09/02/2019 16:24;Estou buscando um curso de Graduacao;De 18 a 20 anos;Masculino;Sudeste;Whatsapp;Busco tudo no Google;Praticar alguma atividade fisica e/ou esportiva;Musica;"Sou a favor e concordo com as decisoes que estao sendo tomadas;";Buscando uma segunda graduacao;Faco o basico para conseguir aprovacao;Outro curso de exatas;Estudo em casa por conta propria Assisto videoaulas no Youtube Faco provas que simulam o vestibular;Apoiam minha escolha de curso;Assistindo videos no Youtube Conversando com amigos Conversando com parentes Fazendo uma busca no Google Buscando nas redes sociais Lendo avaliacoes em sites e blogs Acessando o site da propria instituicao;3;3;3;3;3;3;3;3;3;3;3;Monitoria (Auxilia outros estudantes ao longo do seu aprendizado) Empreendedorismo Atividades em laboratorio (Experimentos Pesquisas Testes Exames dentre outras) Associacao Atletica E-sports (Modalidade de esportes eletronicos) Nucleo Estudantil (Oferece suporte aos estudantes ao longo do curso) Diretorio Academico - DA (Representa os estudantes de um determinado curso) Diretorio Central de Estudantes - DCE (Representa todos os estudantes de uma universidade) Iniciacao Cientifica (Participar de um projeto de pesquisa cientifica);Estar dentro de uma cidade pequena e sossegada Estar localizada numa cidade com baixo custo de vida nao estar muito longe da minha familia;Transporte publico de qualidade Entretenimento para os finais de semana Opcoes de lazer e cultura Pracas e parques para passear Baixo indice de violencia Baixo custo de vida;Facebook Instagram Youtube Grupos de Whatsapp E-mail Televisao Radio Transporte publico (onibus trem metro etc) midia impressa (revistas jornais panfletos etc) Sites e blogs
09/06/2019 00:17;Gostaria apenas de colaborar com a pesquisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09/08/2019 16:27;Estou buscando um curso de Pos-Graduacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09/09/2019 20:36;Estou buscando um curso de Graduacao;De 18 a 20 anos;Masculino;Sul;Facebook, Instagram, Whatsapp;Sites: G1, R7, Folha, etc, Redes Sociais: Pÿginas e Perfis, Busco tudo no Google;Ficar em casa vendo series, filmes, jogando, estudando, etc;Musica, Jogos, Esportes, Series, Filmes, Redes Sociais;"Sou a favor e concordo com as decisoes que est’o sendo tomadas;";Conclui o ensino medio, mas, estou sem estudar a algum tempo;;Engenharia;Estudo em casa por conta propria, Assisto videoaulas no Youtube, Faco provas que simulam o vestibular;Contribuem na hora de pesquisar sobre cursos e instituicoes;Fazendo uma busca no Google, Buscando nas redes sociais;4;1;1;4;4;4;4;5;5;5;5;Empreendedorismo, Atividades em laboratorio (Experimentos, Pesquisas, Testes, Exames, dentre outras), Diretorio Academico - DA (Representa os estudantes de um determinado curso);Estar localizada na cidade em que eu moro, Estar localizada em qualquer cidade do meu estado;Transporte publico de qualidade, Entretenimento para os finais de semana, Baixo indice de violencia, Baixo custo de vida;Facebook, Instagram, E-mail
09/10/2019 14:10;Estou buscando um curso de Graduacao;Menos de 18 anos;Masculino;Sudeste;Facebook, Instagram, Whatsapp;Televisao;Aproveitar a noite em bares e baladas, Praticar alguma atividade fisica e/ou esportiva;Esportes;Prefiro nao opinar sobre isso.;Cursando o ensino medio;Dedico bastante tempo aos estudos;Engenharia;Faco um curso pre-vestibular;Est’o constantemente me orientando quanto a cursos e instituicoes;Conversando com meus pais, Conversando com parentes;5;1;5;5;5;5;5;5;5;5;5;Atividades em laboratorio (Experimentos, Pesquisas, Testes, Exames, dentre outras), Associac’o Atletica;nao tenho restricoes quanto a localizac’o;Transporte publico de qualidade;Instagram
